Date,Open,High,Low,Close,Volume
10-Aug-11,8.00,8.28,7.66,7.81,543226
9-Aug-11,0.00,8.16,0.00,8.16,1008336
8-Aug-11,7.99,8.00,6.75,7.13,1096875
5-Aug-11,8.83,9.02,7.86,8.53,844201
4-Aug-11,9.33,9.48,8.03,8.17,1023388
3-Aug-11,9.75,10.24,9.20,9.58,742533
2-Aug-11,10.53,11.09,9.65,9.67,1082385
1-Aug-11,10.40,10.77,10.12,10.67,1101652
29-Jul-11,10.00,10.10,9.55,9.91,613469
28-Jul-11,9.80,10.27,9.60,9.86,645342
27-Jul-11,9.50,10.30,9.40,9.73,706049
26-Jul-11,10.44,10.45,9.20,9.78,2192439
25-Jul-11,11.04,11.75,11.00,11.18,951708
22-Jul-11,10.93,11.50,10.67,11.33,1326848
21-Jul-11,12.29,12.72,10.64,10.82,2190942
20-Jul-11,12.88,12.93,11.80,12.26,1020464
19-Jul-11,14.26,14.48,12.20,12.48,2046874
18-Jul-11,13.40,14.09,13.21,13.94,1366191
15-Jul-11,13.01,13.57,12.71,13.44,1662952
14-Jul-11,12.23,12.96,12.10,12.60,2068860
13-Jul-11,11.44,11.95,11.34,11.71,874955
12-Jul-11,11.16,11.69,10.80,10.90,768747
11-Jul-11,11.59,12.35,11.42,11.55,769603
8-Jul-11,11.50,12.30,11.05,12.02,1297192
7-Jul-11,12.59,12.87,11.95,12.04,1839426
6-Jul-11,11.38,12.45,11.05,11.95,2536564
5-Jul-11,9.82,11.50,9.54,11.24,2850608
1-Jul-11,9.36,9.36,9.36,9.36,0
30-Jun-11,9.20,9.20,9.20,9.20,0
29-Jun-11,9.44,9.70,9.22,9.43,667406
28-Jun-11,8.83,9.55,8.83,9.18,1074321
27-Jun-11,8.74,8.74,8.74,8.74,0
24-Jun-11,9.12,9.44,8.82,8.90,601760
23-Jun-11,8.50,9.15,8.14,9.01,631574
22-Jun-11,9.00,9.25,8.68,8.77,1013970
21-Jun-11,7.73,8.75,7.63,8.66,1281030
20-Jun-11,7.35,7.80,7.35,7.62,401279
17-Jun-11,7.95,8.06,7.40,7.53,477084
16-Jun-11,7.70,7.70,7.70,7.70,0
15-Jun-11,7.90,8.20,7.71,7.88,738220
14-Jun-11,8.24,8.57,7.95,8.02,1130194
13-Jun-11,8.19,8.47,7.75,7.87,855051
10-Jun-11,8.61,8.89,8.20,8.22,637121
9-Jun-11,8.62,9.10,8.40,8.68,803879
8-Jun-11,9.39,9.53,8.52,8.60,1140918
7-Jun-11,9.55,9.85,9.05,9.48,1786070
6-Jun-11,9.47,9.47,9.47,9.47,0
3-Jun-11,10.31,10.86,10.20,10.28,1104941
2-Jun-11,11.45,11.48,10.30,10.75,2153211
1-Jun-11,11.14,12.09,10.90,11.16,3100652
31-May-11,11.04,11.04,11.04,11.04,0
27-May-11,10.42,10.42,10.42,10.42,0
26-May-11,10.20,10.69,10.05,10.38,1051278
25-May-11,10.23,10.64,10.05,10.15,1229562
24-May-11,10.68,11.59,10.27,10.36,2948589
23-May-11,10.61,10.89,10.03,10.06,1476311
20-May-11,10.99,11.44,10.65,11.11,1599312
19-May-11,10.84,11.72,10.00,10.87,3306466
18-May-11,10.45,10.45,10.45,10.45,0
17-May-11,10.00,10.40,9.68,10.18,2388841
16-May-11,10.80,10.80,10.80,10.80,0
13-May-11,13.05,13.54,12.29,12.50,2429807
12-May-11,12.28,13.33,12.12,12.95,2460481
11-May-11,12.90,12.90,12.90,12.90,0
10-May-11,12.30,13.11,12.25,12.43,1427963
9-May-11,12.68,13.05,12.15,12.48,1705915
6-May-11,13.38,13.45,12.50,12.62,1363437
5-May-11,12.34,12.34,12.34,12.34,0
4-May-11,12.78,14.48,12.50,13.88,3094859
3-May-11,13.60,14.46,12.55,13.01,3074139
2-May-11,15.89,16.25,13.89,14.22,3455471
29-Apr-11,16.65,17.19,16.05,16.43,3736967
28-Apr-11,16.16,17.98,15.71,16.40,6651399
27-Apr-11,16.49,16.49,16.49,16.49,0
26-Apr-11,12.45,14.72,12.30,14.03,7950858
25-Apr-11,11.40,11.87,10.87,11.44,1883998
21-Apr-11,11.25,11.25,11.25,11.25,0
20-Apr-11,11.02,11.02,11.02,11.02,0
19-Apr-11,9.65,11.37,9.63,10.88,5825218
18-Apr-11,8.78,9.38,8.45,9.18,1697385
15-Apr-11,8.99,8.99,8.99,8.99,0
14-Apr-11,8.35,9.40,8.34,9.04,4066961
13-Apr-11,8.05,8.40,7.81,8.22,1978968
12-Apr-11,7.40,7.95,7.13,7.91,1267749
11-Apr-11,7.72,7.82,7.26,7.35,539458
8-Apr-11,8.12,8.12,7.62,7.72,420907
7-Apr-11,7.85,8.15,7.59,7.81,421957
6-Apr-11,8.24,8.55,7.65,7.85,937204
5-Apr-11,8.02,8.43,7.76,8.00,882501
4-Apr-11,7.96,7.96,7.96,7.96,0
1-Apr-11,7.59,7.76,7.40,7.49,421190
31-Mar-11,7.56,7.84,7.25,7.50,465816
30-Mar-11,7.98,7.98,7.98,7.98,0
29-Mar-11,6.95,7.85,6.95,7.65,1250942
28-Mar-11,6.92,7.11,6.85,6.95,266159
25-Mar-11,7.11,7.11,7.11,7.11,0
24-Mar-11,7.24,7.59,7.06,7.17,986181
23-Mar-11,6.81,7.38,6.40,7.17,1825836
22-Mar-11,5.77,6.75,5.71,6.59,1636296
21-Mar-11,5.51,5.84,5.38,5.78,560665
18-Mar-11,5.65,5.75,5.37,5.43,268842
17-Mar-11,5.68,5.75,5.54,5.60,177677
16-Mar-11,5.50,5.84,5.40,5.53,419476
15-Mar-11,5.68,5.68,5.29,5.50,440690
14-Mar-11,5.76,6.10,5.75,5.88,276562
11-Mar-11,5.76,5.99,5.76,5.80,264700
10-Mar-11,6.06,6.06,6.06,6.06,0
9-Mar-11,5.74,6.51,5.74,6.42,1086517
8-Mar-11,5.66,6.05,5.65,5.79,221549
7-Mar-11,5.84,5.87,5.61,5.69,198082
4-Mar-11,5.88,5.97,5.80,5.86,147183
3-Mar-11,5.85,6.10,5.85,5.97,229081
2-Mar-11,5.91,5.91,5.91,5.91,0
1-Mar-11,6.05,6.34,5.99,6.16,370966
28-Feb-11,6.21,6.30,5.76,5.93,333755
25-Feb-11,6.00,6.38,6.00,6.16,470544
24-Feb-11,5.93,5.93,5.93,5.93,0
23-Feb-11,6.35,6.35,5.73,5.82,679606
22-Feb-11,6.39,6.39,6.39,6.39,0
18-Feb-11,6.54,6.54,6.54,6.54,0
17-Feb-11,7.04,7.04,7.04,7.04,0
16-Feb-11,7.18,7.31,6.80,7.00,509228
15-Feb-11,7.58,7.75,7.01,7.15,596638
14-Feb-11,7.37,7.37,7.37,7.37,0
11-Feb-11,7.36,7.75,7.22,7.42,1000730
10-Feb-11,6.80,7.48,6.53,7.31,941384
9-Feb-11,7.15,7.21,6.80,6.87,399391
8-Feb-11,7.07,7.28,6.96,7.10,392696
7-Feb-11,7.36,7.64,6.90,7.07,695220
4-Feb-11,7.48,7.95,7.20,7.26,1364448
3-Feb-11,6.28,7.55,6.26,7.31,2087526
2-Feb-11,6.44,6.72,6.25,6.35,473642
1-Feb-11,6.35,6.82,6.12,6.58,1234556
31-Jan-11,7.00,7.07,6.11,6.14,982749
28-Jan-11,7.10,7.50,7.01,7.05,872023
27-Jan-11,6.93,7.38,6.88,7.09,735785
26-Jan-11,7.58,7.68,6.75,6.88,1072899
25-Jan-11,7.00,7.95,6.99,7.60,1581857
24-Jan-11,7.76,7.76,7.76,7.76,0
21-Jan-11,7.92,8.80,7.88,8.07,1182317
20-Jan-11,8.43,8.56,7.70,8.13,1625365
19-Jan-11,8.69,8.69,8.69,8.69,0
18-Jan-11,8.03,9.90,7.89,9.30,4426230
14-Jan-11,8.12,8.12,8.12,8.12,0
13-Jan-11,7.25,7.25,7.25,7.25,0
12-Jan-11,7.00,7.13,6.61,6.90,891105
11-Jan-11,6.66,7.43,6.51,6.93,2562048
10-Jan-11,6.27,6.27,6.27,6.27,0
7-Jan-11,5.69,5.85,5.45,5.57,712824
6-Jan-11,5.82,5.82,5.82,5.82,0
5-Jan-11,5.10,5.35,5.00,5.27,331442
4-Jan-11,5.37,5.37,4.95,5.20,357528
3-Jan-11,5.27,5.57,5.02,5.20,551472
31-Dec-10,5.37,5.38,5.15,5.29,233179
30-Dec-10,5.32,5.60,5.05,5.37,812080
29-Dec-10,4.90,5.61,4.83,5.30,1666249
28-Dec-10,4.70,4.95,4.61,4.81,404207
27-Dec-10,4.96,5.00,4.55,4.66,309017
23-Dec-10,4.96,4.96,4.96,4.96,0
22-Dec-10,5.04,5.04,5.04,5.04,0
21-Dec-10,3.99,4.00,3.81,3.85,193967
20-Dec-10,3.97,3.97,3.81,3.92,205423
